ID,Station,OS X,OS Y,Latitude,Longitude,Zone,Postcode
1,Abbey Road,539081,183352,51.531952,0.003723371098,3,E15 3NB
2,Abbey Wood,547297,179002,51.4907843,0.1202719706,4,SE2 9RH
3,Acton Central,520613,180299,51.50875735,-0.2634301953,2,W3 6BH
4,Acton Main Line,520296,181196,51.5168865,-0.267689948,3,W3 9EH
5,Acton Town,519457,179639,51.50307099,-0.2803026968,3,W3 8HN
6,Addington Village,537082,163744,51.35623854,-0.03266510033,"3,4,5,6",CR0 5AR
7,Addiscombe,534190,166290,51.37980817,-0.07321328252,"3,4,5,6",CR0 7AA
8,Albany Park,547903,172902,51.43581582,0.1264446387,5,DA5 3HP
9,Aldgate,533629,181246,51.51434226,-0.07562691232,1,EC3N 1AH
10,Aldgate East,533809,181333,51.51508151,-0.07300146242,1,E1 7PT
11,Alexandra Palace,530300,190498,51.59826263,-0.1201489714,3,N22 7ST
12,All Saints,538012,180933,51.51047691,-0.01262488536,2,E14 0EH
13,Alperton,518025,183849,51.54120879,-0.2995157535,4,HA0 4LL
14,Amersham,496454,198181,51.67412833,-0.6065137679,9,HP6 5AZ
15,Ampere Way,530674,166476,51.38229922,-0.1236367985,"3,4,5,6",CR0 3JX
16,Anerley,534656,169942,51.41251661,-0.06513709988,4,SE20 8PY
17,Angel,531497,183263,51.53296785,-0.1055814483,1,N1 8XB
18,Angel Road,535204,192202,51.61242024,-0.04873291924,4,N18 3AY
19,Archway,529356,186827,51.56549032,-0.1351215756,"2,3",N19 5RQ
20,Arena,535192,167620,51.39152266,-0.05831854989,"3,4,5,6",SE25 4RY
21,Arnos Grove,529271,192471,51.61622992,-0.1342702177,4,N11 1AN
22,Arsenal,531429,186107,51.55854121,-0.105499933,2,N5 1LP
23,Avenue Road,535764,169335,51.4067979,-0.04944693697,"3,4,5,6",BR3 4NJ
24,Baker Street,527965,182078,51.52312937,-0.156904193,1,NW1 5LA
25,Balham,528482,173195,51.44318231,-0.152685162,3,SW12 9SG
26,Bank,532704,181111,51.51334692,-0.08900012349,1,EC3V 3LA
27,Banstead,524590,160426,51.32929278,-0.2131323335,6,SM7 1RB
28,Barbican,532079,181859,51.52021513,-0.09772157809,1,EC1A 4JA
29,Barking,544405,184343,51.53952125,0.0808316104,4,IG11 8TU
30,Barkingside,544788,189510,51.58585076,0.08847664011,4,IG6 1NB
31,Barnehurst,550206,176193,51.46478055,0.1609480239,6,DA7 6HQ
32,Barnes,522209,175705,51.46712738,-0.2420330586,3,SW13 0LW
33,Barnes Bridge,521478,176255,51.47222764,-0.2523626133,3,SW13 0NR
34,Barons Court,524133,178322,51.49022833,-0.2134301424,2,W14 9DP
35,Battersea Park,528703,176999,51.47731808,-0.1481237604,2,SW8 4NB
36,Battersea Power Station,529122,177252,51.47949634,-0.1420013514,1,
